# ----------------------------------------
# engeki.kansolink.com/
# ページ
# 20151231-20160130
# ----------------------------------------

ページ,ページビュー数,ページ別訪問数,平均ページ滞在時間,閲覧開始数,直帰率,離脱率,ページの価値
/index.html,"2,143","1,106",00:01:08,748,42.51%,29.07%,￥0
/shows/cocoon100.html,470,312,00:01:08,242,69.01%,52.55%,￥0
/people/pkatsumura.html,195,175,00:13:30,170,90.00%,87.18%,￥0
/people/pkiriyamahiromu.html,171,74,00:00:56,65,43.08%,32.75%,￥0
/review/cocoon.html,162,98,00:01:34,65,41.54%,35.80%,￥0
/shows/parco204.html,160,94,00:00:59,39,58.97%,30.63%,￥0
/review/caramel.html,151,66,00:01:22,58,31.03%,37.09%,￥0
/review/wawaf.html,141,66,00:00:26,46,8.70%,40.43%,￥0
/people/ptakahashiissei.html,134,52,00:01:17,40,30.00%,26.87%,￥0
/review/chocoratecake.html,132,67,00:01:07,45,53.33%,39.39%,￥0
/seasons/201512.html,125,65,00:00:21,2,0.00%,8.00%,￥0
/shows/komatuza74.html,123,79,00:00:53,38,63.16%,39.02%,￥0
/review/komatuza.html,117,71,00:01:06,60,43.33%,47.01%,￥0
/people/pawanemakoto.html,109,21,00:00:39,15,46.67%,18.35%,￥0
/seasons/201601.html,109,68,00:00:19,4,25.00%,9.17%,￥0
/review/gotandadan.html,104,50,00:01:57,45,62.22%,42.31%,￥0
/review/shiberiashoujo.html,95,33,00:01:26,30,43.33%,29.47%,￥0
/shows/horipro84.html,92,55,00:02:13,21,57.14%,35.87%,￥0
/review/europe.html,89,33,00:01:06,27,33.33%,25.84%,￥0
/review/roro.html,80,29,00:00:42,15,60.00%,17.50%,￥0
/people/pmoritago.html,77,25,00:01:31,21,57.14%,28.57%,￥0
/review/nueteki.html,77,40,00:00:32,35,68.57%,42.86%,￥0
/shows/parco205.html,75,53,00:00:56,34,64.71%,57.33%,￥0
/review/toyokikaku.html,70,53,00:00:16,52,46.15%,47.14%,￥0
/people/hasegawahiromi.html,68,28,00:00:59,26,61.54%,30.88%,￥0
/people/pmitani.html,68,20,00:00:38,17,47.06%,27.94%,￥0
/people/pnakamuratomoya.html,65,19,00:01:04,16,56.25%,23.08%,￥0
/review/hoshikuzunokai.html,64,22,00:01:00,22,40.91%,28.12%,￥0
/people/pyamamotokoji.html,63,25,00:00:55,20,65.00%,36.51%,￥0
/index.html?from=http://www.traffic2cash.xyz/,61,61,00:00:00,61,100.00%,100.00%,￥0
/review/otona.html,60,19,00:02:19,16,62.50%,26.67%,￥0
/people/ptsutsumishinichi.html,59,35,00:01:03,34,47.06%,42.37%,￥0
/review/shikagoroshi.html,59,44,00:00:47,32,43.75%,45.76%,￥0
/review/shinkokuritu.html,57,37,00:01:01,26,57.69%,43.86%,￥0
/review/paradox.html,51,34,00:00:47,26,65.38%,52.94%,￥0
/shows/chocoratecake13.html,50,27,00:01:11,20,60.00%,46.00%,￥0
/review/nylon.html,46,17,00:05:20,11,54.55%,26.09%,￥0
/review/agapestore.html,44,31,00:00:39,22,63.64%,40.91%,￥0
/people/pabekobo.html,43,25,00:01:29,25,32.00%,48.84%,￥0
/people/piwamatsu.html,43,7,00:02:02,6,0.00%,6.98%,￥0
/shows/tubakigumi8.html,43,29,00:00:40,24,70.83%,55.81%,￥0
/review/bannoglobe.html,42,24,00:01:04,20,40.00%,47.62%,￥0
/shows/swimmers7.html,41,26,00:01:26,26,69.23%,63.41%,￥0
/people/pninagawa.html,40,21,00:01:04,17,29.41%,40.00%,￥0
/review/tokyokanden.html,40,29,00:02:05,24,58.33%,55.00%,￥0
/people/kumabayashihirotaka.html,38,24,00:01:55,24,79.17%,63.16%,￥0
/review/cityboy.html,37,17,00:05:12,15,33.33%,43.24%,￥0
/review/nitosha.html,37,28,00:00:29,27,62.96%,64.86%,￥0
